Site,site_name,country,database,weather_name,pyranometer_cal,Latitude,Longitude,Elevation,Timezone,Weather height,Sensor height,Nodes,Crop,start_date,end_date,link to G. Maps
Egypt Zankaloun 2022,Zankaloun,eg,cordova_et_eg,Zankaloun,1.273921047,30.580285,31.433497,9.00,Africa/Cairo,2,1.4,"eg-001, eg-002, eg-003, eg-004",maize_2020,,,"https://www.google.com/maps/place/30%C2%B034'49.0%22N+31%C2%B026'00.6%22E/@30.5798601,31.4326628,207m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d30.580285!4d31.433497"
Iran 2022,Lake Urmia,ir,cordova_et_ir,Iran ,1.273921047,37.6594301,44.9768271,1371.15,Asia/Tehran,2,2,,,,,"https://www.google.com/maps/place/37%C2%B039'34.0%22N+44%C2%B058'36.6%22E/@37.6594343,44.9746384,760m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d37.6594301!4d44.9768271"
Jordan 2022,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.00,Asia/Amman,2,2.5,"jo-001, jo-002, jo-003, jo-004",wheat_2022,,,"https://www.google.com/maps/place/32%C2%B011'25.9%22N+35%C2%B037'03.3%22E/@32.1905195,35.6153863,829m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d32.190515!4d35.617575"
Lebanon 2022,Tal Amara,le,cordova_et_lb,Tal Amara,1,33.8568742,35.9867085,910.00,Asia/Beirut,2,1.7,"lb-001, lb-002, lb-003, lb-004",wheat_2020,2021-12-01,,"https://www.google.com/maps/place/33%C2%B051'33.3%22N+35%C2%B059'16.8%22E/@33.8592623,35.9858053,797m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d33.8592579!4d35.987994"
Morocco 2022,Marchouch,ma,cordova_et_ma,Marchouch,1.273921047,33.615014,-6.716377,221.00,Africa/Casablanca,2.5,1.9,"ma-009, ma-010, ma-011, ma-012",wheat_2020,,,"https://www.google.com/maps/place/33%C2%B013'09.3%22N+7%C2%B042'49.0%22W/@33.2192505,-7.7158067,803m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d33.219246!4d-7.713618"
Palestine Jenin 2022,Jenin,ps,cordova_et_ps,Jenin,1.0,32.4293937,35.2606194,254.00,Asia/Hebron,2.0,2.0,"ps-005, ps-006, ps-007, ps-008",wheat_2020,,,"https://www.google.com/maps/place/32%C2%B025'45.8%22N+35%C2%B015'38.2%22E/@32.4293982,35.2584307,982m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0xf4fe16df05bed537!8m2!3d32.4293937!4d35.2606194"
Palestine Aqaba 2022,Aqaba,ps,cordova_et_ps,Aqaba,1.0,32.3635299,35.3351885,448.00,Asia/Hebron,2.0,2.0,"ps-001, ps-002, ps-003, ps-004",wheat_2020,,,"https://www.google.com/maps/place/32%C2%B021'51.3%22N+35%C2%B020'02.6%22E/@32.3705448,35.336249,3097m/data=!3m1!1e3!4m5!3m4!1s0x0:0xd8be2be9c17d361d!8m2!3d32.364243!4d35.334055"
Tunisia 2022,Tunisia,tn,cordova_et_tn,Tunisia,1.273921047,36.5465347,9.0140506,147.00,Africa/Tunis,3,2.5,"tn-001, tn-002, tn-003, tn-004",wheat_2022,,,"https://www.google.com/maps/place/36%C2%B032'47.5%22N+9%C2%B000'50.6%22E/@36.546539,9.0118619,772m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.5465347!4d9.0140506"
Tunisia INGC,Jendouba,tn,cordova_et_tn,INGC-Tunisia,1.0,36.5460449,9.0128499,147.00,Africa/Tunis,3,2.5,"tn-001, tn-002, tn-003, tn-004, tn-009, tn-010, tn-011, tn-012",wheat_2020,,,"https://www.google.com/maps/place/36%C2%B032'47.5%22N+9%C2%B000'50.6%22E/@36.546539,9.0118619,772m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.5465347!4d9.0140506"
Tunisia Olive,Sfax,tn,cordova_et_tn,OI-Sfax,1.0,34.735041, 10.734543,7.00,Africa/Tunis,3,2.5,"tn-005, tn-006, tn-007, tn-008",wheat_2020,,,"https://www.google.com/maps/place/36%C2%B032'47.5%22N+9%C2%B000'50.6%22E/@36.546539,9.0118619,772m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.5465347!4d9.0140506"
Egypt Menia,Menia,eg,cordova_et_eg,Menia,2.64,28.101070,30.746473,5.00,Africa/Cairo,2.9,1.85,"eg-009, eg-010, eg-011, eg-012",wheat_2020,2022-09-13,,"https://www.google.com/maps/place/28°06'03.9%22N+30°44'47.3%22E/@28.1010699,30.7442847,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe46bad2d4a502871!8m2!3d28.1010699!4d30.7464734?hl=en"
Tunisia Palms,Degache,tn,cordova_et_tn,Degache,1.0,33.97749, 8.21010,57.00,Africa/Tunis,3,5,"tn-013, tn-014, tn-015, tn-016, tn-113, tn-114, tn-115, tn-116",wheat_2020,2022-10-25,,"https://www.google.com/maps/place/36%C2%B032'47.5%22N+9%C2%B000'50.6%22E/@36.546539,9.0118619,772m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.5465347!4d9.0140506"
